HEPES,HEPES_pH8.0,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH7.2,HEPES_pH7.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,yield,yield_std
100,0,0,0,1,0,0,15,10,60,100,0.25,1,3,8.75,2.2962,1.2334,5.956,1.2166,2.615475,0.552,8.3628,4.2714,2.8825,1.36885,2.2688,3.582,2.46195,7.28,0.116725,0.828525,0.39216,49.48750333,26.53041481
125,1,0,0,0,0,0,5,2.5,80,100,1,0.4,1,6.25,0.095675,2.15845,1.489,0.456225,2.615475,1.656,0.3636,5.33925,0.28825,19.1639,2.5524,1.99,6.5652,13.104,0.1334,0.276175,3.13725,28.05262667,4.85970869
25,0,0,1,0,0,0,20,5,100,2.5,0.25,0.6,5,8.75,0.478375,3.0835,6.7005,1.2166,0.871825,0.552,0.3636,4.2714,0.86475,5.4754,1.7016,11.144,0.82065,4.368,0.083375,0.276175,3.5294,22.17515333,3.458104414
125,0,0,0,0,0,1,22.5,0,100,60,0,0.2,2,8.75,0.19135,2.4668,0.7445,2.12905,0.871825,0.552,0.3636,2.669625,2.306,5.4754,2.2688,14.726,4.9239,30.576,0.1334,0.55235,0.78431,22.78063667,2.358233079
175,0,0,0,1,0,0,15,10,10,100,0.5,0.4,6,8.75,0.478375,2.77515,6.7005,0.456225,2.615475,2.76,0.3636,4.805325,0.86475,62.9671,0.5672,8.358,6.5652,23.296,0.16675,0.276175,2.74509,294.3346,32.52907431
75,0,0,0,1,0,0,12.5,80,40,0,0.5,0,9,5,0.287025,2.4668,1.489,1.52075,6.9746,2.208,14.9076,3.20355,2.01775,6.84425,1.7016,1.194,8.2065,72.8,0.0667,1.933225,2.74509,210.4704,28.24010984
50,0,0,1,0,0,0,7.5,2.5,100,0,3,0.1,5,10,0.3827,2.15845,0.7445,0.30415,0.871825,1.656,4.7268,1.06785,0.86475,4.10655,1.9852,0.796,1.6413,10.192,0.16675,1.380875,1.17647,31.18241333,5.757529627
100,0,0,0,0,1,0,7.5,40,2.5,60,3,0.4,7,7.5,0.95675,1.8501,5.2115,1.52075,1.74365,3.312,1.818,2.1357,1.153,26.00815,2.836,11.144,6.5652,10.192,0.10005,0.55235,1.17647,159.6624333,27.54501017
175,0,0,0,1,0,0,7.5,40,100,5,2,0.4,1,7.5,1.72215,1.2334,6.7005,0.152075,6.9746,2.76,14.9076,4.805325,0.86475,19.1639,1.7016,0.398,5.74455,2.912,0.083375,0.55235,3.5294,143.18,33.91148198
25,0,1,0,0,0,0,12.5,2.5,5,100,1,0.1,2,5,0.669725,1.54175,5.956,1.52075,13.077375,0.552,6.1812,5.33925,2.306,1.36885,1.7016,3.582,4.10325,10.192,0.083375,0.55235,3.5294,32.36158,14.02931033
175,1,0,0,0,0,0,17.5,20,2.5,2.5,3,0.6,1,5,0.095675,0.92505,5.2115,0.6083,13.077375,4.416,4.7268,1.601775,0.5765,62.9671,1.1344,3.582,0.82065,23.296,0.116725,2.2094,3.5294,215.0076333,18.01823987
100,1,0,0,0,0,0,12.5,100,10,10,0,0,4,10,5.3578,2.77515,4.467,2.12905,1.74365,1.104,11.2716,2.669625,0.5765,9.58195,2.5524,11.144,6.5652,1.456,0.03335,0.828525,1.96078,249.5317,29.14475159
125,0,1,0,0,0,0,22.5,20,100,20,0.25,0.2,6,6.25,0.478375,2.77515,5.2115,2.12905,3.4873,0.552,1.4544,4.805325,0.86475,84.8687,1.9852,3.582,3.2826,23.296,0.150075,2.2094,1.56862,125.3432333,27.40179538
50,0,1,0,0,0,0,0,0,60,40,2,1,3,10,0.287025,3.0835,1.489,0.91245,6.9746,4.968,0.3636,2.669625,0.86475,6.84425,2.2688,3.582,4.10325,7.28,0.1334,0.828525,2.74509,17.94418967,11.25196649
25,1,0,0,0,0,0,17.5,2.5,80,40,0.25,1,4,1.25,0.95675,0.30835,4.467,0.456225,2.615475,1.104,1.4544,0.533925,0.28825,2.7377,0.2836,1.99,1.6413,40.768,0.1334,1.380875,1.96078,48.66720667,9.375184354
50,0,0,0,1,0,0,2.5,60,80,80,0.25,1,5,6.25,0.3827,2.15845,5.956,0.91245,6.9746,1.104,1.818,1.06785,1.7295,6.84425,0.2836,1.194,4.9239,5.824,0.10005,1.933225,0.78431,52.79637667,15.49970193
100,0,0,0,0,0,1,2.5,5,5,80,0.25,0.6,5,8.75,0.3827,2.15845,0.7445,1.2166,2.615475,3.312,1.0908,5.33925,0.28825,62.9671,1.9852,1.592,0.82065,2.912,0.150075,0.55235,2.74509,132.8610333,7.611130653
150,0,0,0,1,0,0,12.5,0,100,2.5,4,0,0,8.75,1.72215,0.92505,1.489,1.52075,17.4365,2.76,11.2716,1.06785,1.153,26.00815,1.1344,1.592,4.10325,1.456,0.116725,1.65705,1.17647,129.9027667,8.764404177
200,0,0,0,1,0,0,10,5,10,5,0.25,0.2,0,2.5,1.72215,2.4668,5.2115,0.91245,13.077375,2.76,14.9076,3.737475,2.306,9.58195,0.2836,3.582,5.74455,40.768,0.083375,1.933225,3.5294,62.44235667,8.792363624
50,1,0,0,0,0,0,22.5,40,20,0,2,1,4,6.25,1.72215,0.30835,0.7445,0.152075,0.871825,1.656,6.1812,1.601775,2.8825,62.9671,1.9852,11.144,3.2826,7.28,0.03335,0.276175,1.17647,59.51628333,13.01428234
100,0,0,0,1,0,0,5,0,60,60,0.5,0.1,2,7.5,1.72215,0.30835,5.956,2.889425,9.590075,4.968,1.818,2.669625,0.86475,6.84425,1.1344,2.786,8.2065,1.456,0.016675,2.485575,1.17647,163.3485333,13.95367905
175,1,0,0,0,0,0,15,0,40,40,1,0.4,9,2.5,0.095675,1.54175,5.956,0.91245,13.077375,2.208,0.7272,2.1357,0.5765,13.6885,2.2688,3.582,4.9239,72.8,0.016675,2.485575,2.35294,219.7035667,8.372939617
75,1,0,0,0,0,0,7.5,20,40,5,4,0.2,8,5,2.2962,0.92505,5.2115,0.30415,13.077375,4.416,0.7272,2.1357,2.306,9.58195,1.7016,0.796,8.2065,72.8,0.083375,1.933225,0.78431,307.5381,32.2461727
