HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Value_1,Value_2,Value_3,yield,yield_std
50,0,0,1,0,0,0,10,5,20,80,0.5,0.1,9,8.75,2.2962,3.0835,2.978,2.12905,9.590075,4.968,2.669625,0.3636,2.8825,84.8687,0.2836,8.358,0.82065,4.368,0.16675,4.694975,2.74505,2221.550514,1937.769621,1901.511801,2020.277312,175.2479205
150,0,0,0,1,0,0,10,5,20,5,1,0,9,10,5.3578,0.6167,3.7225,0.456225,6.9746,2.76,0.533925,1.818,2.306,84.8687,1.9852,1.592,7.38585,7.28,0.0667,4.694975,1.96075,1179.399298,1099.840769,1061.409962,1113.55001,60.17747365
175,0,0,0,0,0,1,15,5,20,20,0.5,0,9,7.5,5.3578,1.8501,5.956,0.30415,9.590075,2.76,2.669625,2.9088,1.44125,113.61455,1.9852,2.786,1.6413,13.104,0.016675,4.4188,1.96075,1599.154841,1440.83834,1537.480018,1525.8244,79.79924042
125,0,0,0,1,0,0,7.5,20,5,2.5,0.2,0,6,3.75,7.175625,1.54175,2.2335,0.91245,6.9746,0.552,9.076725,1.0908,2.306,62.9671,0.2836,6.368,8.2065,30.576,0.03335,4.97115,2.74505,1093.671566,1028.636827,1110.893233,1077.733875,43.38244566
150,0,0,0,0,1,0,10,10,10,10,5,0.1,6,8.75,3.0616,0.92505,2.2335,0.30415,13.077375,2.76,1.601775,0.7272,2.8825,26.00815,2.836,14.726,7.38585,13.104,0.150075,3.3141,0.7843,890.9955574,876.2678513,954.2060897,907.1564995,41.40621076
125,0,0,0,1,0,0,15,60,2.5,2.5,0.5,0.1,7,5,0.95675,1.8501,3.7225,1.2166,6.9746,4.416,21.890925,2.1816,2.59425,26.00815,1.9852,19.9,1.6413,13.104,0.050025,4.4188,1.96075,935.9429338,589.0019534,996.4835723,840.4761531,219.8766633
75,0,0,0,1,0,0,10,60,10,40,2,0,8,7.5,4.01835,3.0835,0.7445,1.52075,17.4365,4.416,1.601775,1.818,2.8825,34.22125,1.1344,1.194,4.9239,13.104,0.10005,4.97115,0.7843,211.2475781,216.9838001,193.0697159,207.1003647,12.48480632
50,0,0,0,0,1,0,17.5,2.5,20,10,0.5,0,8,8.75,3.0616,0.92505,6.7005,2.889425,5.23095,0.552,16.551675,1.0908,2.59425,113.61455,2.2688,1.99,7.38585,53.872,0.0667,4.694975,0.39215,878.7380972,805.5722108,862.3513828,848.8872303,38.39627957
50,0,1,0,0,0,0,12.5,0,5,80,0.4,0,6,1.25,4.01835,2.15845,5.956,0.456225,6.9746,4.416,1.601775,0.7272,2.59425,113.61455,1.7016,14.726,5.74455,13.104,0.10005,3.3141,0.39215,1464.762859,1448.983551,1711.331311,1541.692574,147.1231541
50,0,0,1,0,0,0,7.5,20,2.5,40,1,0.1,4,7.5,9.5675,0.92505,5.2115,2.12905,9.590075,3.864,1.601775,3.2724,2.01775,34.22125,1.9852,8.358,6.5652,7.28,0.050025,4.142625,2.74505,1236.613024,1258.179498,1282.270389,1259.02097,22.84031049
